PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] HREC_ETIS_1.raw.PG.Quantity,[2] HREC_ETIS_2.raw.PG.Quantity,[3] HREC_ETIS_3.raw.PG.Quantity,[4] HREC_ETIS_4.raw.PG.Quantity,[5] HREC_IRIS_1.raw.PG.Quantity,[6] HREC_IRIS_2.raw.PG.Quantity,[7] HREC_IRIS_3.raw.PG.Quantity,[8] HREC_IRIS_4.raw.PG.Quantity,[9] HREC_P_1.raw.PG.Quantity,[10] HREC_P_2.raw.PG.Quantity,[11] HREC_P_3.raw.PG.Quantity,[12] HREC_P_4.raw.PG.Quantity
P24522,GADD45A,Growth arrest and DNA damage-inducible protein GADD45 alpha,1032.740112,NaN,516.6052856,579.5986938,751.7971802,268.9559326,885.1940308,178.3153229,859.9887085,NaN,303.9293518,1056.759888
P24534,EEF1B2,Elongation factor 1-beta,442485.25,423216.375,501049.3125,454469.0938,477320.2813,435140.0938,467930.4688,418420,361667.25,452368.5,499357.0313,443274.8125
P24539,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",79922.23438,70331.0625,56186.5,59954.26172,54446.17578,76951.03906,66406.10938,65862.48438,64452.00391,51245.18359,71975.5625,48324.09375
P24557,TBXAS1,Thromboxane-A synthase,7521.088379,7359.067871,6478.676758,7377.709961,6455.481934,6959.425781,6571.994629,6613.960938,10584.48242,10281.61816,8307.646484,8353.459961
P24592,IGFBP6,Insulin-like growth factor-binding protein 6,2009.258789,2152.927246,1908.277832,1200,830.328186,1267.810303,1426.075073,1519.054688,NaN,NaN,97.74639893,NaN
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase,277995.25,264292.1563,248824.2813,262116.3594,251848.5938,244935.1406,304573.3125,293027.875,285245.8438,243208.3906,279381.6563,303982.7188
P24723,PRKCH,Protein kinase C eta type,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",164256.1094,188180.9844,176536,174147.5,194592.9844,177661.1094,175054.4219,194211.9375,160322.8281,177647.2969,158102.0625,159688.7344
P24821,TNC,Tenascin,10435.03809,11571.84766,9579.611328,10547.93066,11287.69141,12718.63086,11739.22852,11857.79688,14884.01367,14962.0332,13310.53906,14059.9834
P24863,CCNC,Cyclin-C,1549.093262,791.9710083,759.0111694,470.3872681,813.1107788,742.151123,400.0010986,700.7541504,922.6313477,1136.566895,1599.01001,1099.040894
P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,37742.33203,37794.25781,38384.42969,36317.75781,40512.53906,38690.89063,38163.25391,42071.26563,52398.86328,51824.17969,52048.9375,53864.38672
P24941,CDK2,Cyclin-dependent kinase 2,18616.8125,13082.08301,12879.32227,12220.65332,14241.99805,13024.62305,14864.25391,12500.03125,29002.31836,27335.35742,31918.17773,31574.05469
P25054,APC,Adenomatous polyposis coli protein,2929.59668,3203.047852,3530.711182,3105.990479,3416.454346,2774.716309,3094.217529,3577.040283,5306.944336,3571.186523,4495.130371,3583.540039
P25098,GRK2,Beta-adrenergic receptor kinase 1,3696.820557,4585.176758,4393.707031,3696.574707,4322.344727,4238.39209,4282.319824,4324.128906,3057.605957,2894.152588,2679.133545,3405.118164
P25106,ACKR3,Atypical chemokine receptor 3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25116,F2R,Proteinase-activated receptor 1,2210.121826,1526.750122,1947.703857,2156.091553,2050.426758,1990.960571,2535.03418,1650.572754,1993.172852,1910.02002,2245.635986,2046.760254
P25205,MCM3,DNA replication licensing factor MCM3,5788.370117,8538.029297,6035.841309,7215.779785,7338.251953,7862.967285,7915.467773,8472.848633,60525.57813,66041.75,57688.46484,73247.51563
P25208,NFYB,Nuclear transcription factor Y subunit beta,28822.22266,25791.96875,25072.28516,24333.5293,22634.27734,28280.50781,28518.87695,28547.05469,35071.55469,31665.47461,44809.21094,35022.27734
P25311,AZGP1,Zinc-alpha-2-glycoprotein,NaN,NaN,NaN,NaN,0.134820506,NaN,NaN,NaN,NaN,1,NaN,NaN
P25325,MPST,3-mercaptopyruvate sulfurtransferase,81966.53906,74314.26563,76603.26563,67442.55469,82053.78125,80686.10156,80616.35938,86940.29688,65810.53125,69428.35156,71695.8125,66146.04688
P25398,RPS12,40S ribosomal protein S12,317025.2813,337618.9375,250208.5,303168.9688,296897.6875,67304.29688,301365.75,73728.48438,45327.47266,242245.7344,290779.0313,245074.0156
P25440,BRD2,Bromodomain-containing protein 2,5909.617676,4696.932129,4576.059082,5469.600586,5068.428223,4325.656738,4541.487305,4933.514648,5768.448242,6469,6174.481934,7747.078125
P25445,FAS,Tumor necrosis factor receptor superfamily member 6,13172.16406,7392.42334,11753.01855,8905.401367,11063.42383,9891.728516,12092.44043,11594.12207,5218.189453,5062.359375,6305.827148,4717.090332
P25490,YY1,Transcriptional repressor protein YY1,101.9818954,127.3062057,107.9297409,133.2825928,145.0705261,129.2481689,NaN,50.13843155,122.1984482,400.5019226,385.3451538,275.4777527
P25685,DNAJB1,DnaJ homolog subfamily B member 1,154435.9219,146836.0156,151601.125,152195.9375,142512.625,146023.9531,131425.8594,142644.2656,127846.8828,137662.5313,132896.5938,134487.9688
P25686,DNAJB2,DnaJ homolog subfamily B member 2,7289.702148,7807.727051,7719.048828,8071.993652,7377.362793,5810.491211,6288.474609,6742.526367,6913.294434,6509.62793,7862.465332,6267.068359
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",4777432,5367904.5,5369250.5,5087369,5032200.5,6044465,5843184.5,5417631,3338329.5,3384037,3157086.75,3939840.25
P25774,CTSS,Cathepsin S,15561.26465,15670.81055,13600.80273,16526.86133,15401.26465,14110.53027,13903.19922,13576.67188,9231.908203,8054.884766,8849.077148,9051.8125
P25786,PSMA1,Proteasome subunit alpha type-1,302101.5625,361436.7813,379418.1563,381621.6563,365663.7813,393113.5938,408168.6563,404312.2813,375981.4375,344083.625,294957.0313,346808.4688
P25787,PSMA2,Proteasome subunit alpha type-2,139047.0781,120757.5469,122769.3359,124113.9375,127224.0391,129108.0781,130001.2188,116566.4688,131777.4219,135611.0938,119434.2422,126978.6719
P25788,PSMA3,Proteasome subunit alpha type-3,45319.38672,53089.32031,48895.92578,54621.75781,60232.625,60494.76953,56655.52344,52648.86719,47075.26563,46236.38281,43876.71484,50474.66406
P25789,PSMA4,Proteasome subunit alpha type-4,282777.4375,246364.4531,236202.6719,239282.4844,256672.8906,238218.1563,240886.625,258717.2344,233802.3438,261875.1563,278105.0313,325640.75
P25815,S100P,Protein S100-P,NaN,50.92179108,NaN,NaN,29.8293457,15.32199097,NaN,37.29682541,8.367889404,9.442576408,146.0359344,71.09407806
P25942,CD40,Tumor necrosis factor receptor superfamily member 5,27980.34375,27046.71484,25540.9043,29304.26758,28115.95508,31773.97461,31112.78516,27446.25781,8766.195313,30728.92383,32723.92969,31487.01563
P25963,NFKBIA,NF-kappa-B inhibitor alpha,2379.873779,1449.854492,996.3561401,1390.617798,1549.318115,628.0894165,294.5811768,1217.795044,929.9086304,1521.790405,1412.356812,1452.682617
P26006,ITGA3,Integrin alpha-3,148901.2969,181057.6406,177967.0156,176055.5625,202201.6875,195486.6875,191124.2656,195962.5469,158272.4063,171806.6875,178408.8438,190366.9063
P26012,ITGB8,Integrin beta-8,25775.55664,21813.66602,21681.12695,21484.21484,21763.89453,22803.67773,24538.21094,24454.51367,15997.4668,16112.55762,16345.80469,17102.52734
P26038,MSN,Moesin,1244304.375,1296442.25,1406475.25,1399587.25,1510955.875,1632366.75,1480407.375,1505646.75,1434953.75,1066389.5,1165989.5,1124856
P26045,PTPN3,Tyrosine-protein phosphatase non-receptor type 3,10669.22461,8992.455078,8203.619141,9857.138672,8852.363281,10060.68359,9181.660156,10007.22363,8786.567383,9299.525391,11298.42578,8619.523438
P26196,DDX6,Probable ATP-dependent RNA helicase DDX6,105846.6641,124805.1094,114520.5938,113933.625,116512.6797,112606.9219,130248.0625,116072.7656,106732.9922,112493.8438,119005.9609,120416.5156
P26358,DNMT1,DNA (cytosine-5)-methyltransferase 1,32318.07031,28855.14648,28608.63086,29541.47656,28319.3457,35038.69141,36534.12109,36212.51953,128800.6563,134227.0313,130420.0938,119669.1484
P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,121278.6094,139424.1719,137093.1094,140697.5781,148134.2188,142762.6094,140836.4688,147495.9531,118283.5469,121837.0781,104771.6797,148073.0938
P26373,RPL13,60S ribosomal protein L13,101909.0625,119118.9063,121013.7344,108410.1016,108813.1172,107831.6328,120685.6016,132059.125,92476.1875,103563.9453,104719.4609,113044.7891
P26374,CHML,Rab proteins geranylgeranyltransferase component A 2,5201.777832,4289.37793,4975.243164,4106.362305,3996.713379,3962.903076,4290.024414,3617.855469,6023.958496,5409.001953,6013.855469,5439.128906
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",60524.69922,49595.99219,54247.19922,55720.40234,46404.65234,53666.11328,57016.48828,56068.23438,26090.81836,34376.51563,37875.55078,34919.23047
P26447,S100A4,Protein S100-A4,180243.3125,170139.125,209866,219127.4531,193679.9063,186720.3125,151895.6406,218501.0156,148274.6563,191501.7031,178461.3594,132998.7813
P26572,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",16656.61133,12269.89746,21663.77539,13369.68555,15736.13867,14894.98633,19311.54102,16567.61719,19314.9707,19350.05664,14796.72168,12848.70313
P26583,HMGB2,High mobility group protein B2,17.08708954,NaN,NaN,36.58403778,NaN,2689.351563,45.29121399,NaN,207.421936,423.4303284,250.0054016,227.3379211
P26599,PTBP1,Polypyrimidine tract-binding protein 1,684887.0625,509389.25,568123.1875,559293.375,609275.8125,573911.1875,630479.6875,628425.0625,812411.4375,775348.0625,785503.9375,650822.3125
P26639,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",750069.4375,833643.875,770399.3125,769535.9375,794039.8125,846762.125,871166.4375,884954.9375,768690.8125,856192.0625,808473,846605.5
P26640,VARS1,Valine--tRNA ligase,940926.9375,919484.5625,938339.9375,956371.5625,982061.5625,1019025.313,998190.625,1016209.813,955235.3125,935439.0625,977937.9375,920850.5
P26641,EEF1G,Elongation factor 1-gamma,2978783.5,3922264.75,3751164,3362043,3488486.5,3655374,3592592.25,3679464,3478100.5,3222856,3324490.5,3899685
P26651,ZFP36,mRNA decay activator protein ZFP36,1599.427856,174.845871,0.967571259,430.8410645,292.4292908,631.5877075,707.1702271,286.2745667,1130.988159,1149.874512,1725.200317,1200.936157
P26885,FKBP2,Peptidyl-prolyl cis-trans isomerase FKBP2,55477.72266,71475.74219,64752.41797,63254.44531,55149.56641,80179.59375,72563.89063,65845.53125,46631.01563,53021.06641,62566.89844,63353.28516
P27105,STOM,Stomatin,123267.6484,111278.0781,93815.85938,93179.19531,83809.1875,76208.73438,78735.92188,77140.38281,61434.44141,64043.07813,78742.89063,63349.67969
P27144,AK4,"Adenylate kinase 4, mitochondrial",131288.1719,194485.6875,187569.3125,183819.8906,154575.3906,185300.3438,176715.0156,196685.2188,106084.875,84865.29688,91338.30469,99033.97656
P27338,MAOB,Amine oxidase [flavin-containing] B,23760.67578,21751.06641,32778.28125,24298.69141,22112.21094,21437.67969,18625.40234,23177.13672,28645.90625,31494.55469,31146.90625,30438.92773
P27348,YWHAQ,14-3-3 protein theta,97384.64063,100256.7031,102602.0391,101620.5391,90211.375,108244.2656,82371.28125,94792.27344,69260.86719,78613.47656,67637.70313,81126.11719
P27361,MAPK3,Mitogen-activated protein kinase 3,37108.10938,39320.60938,38394.30859,44289.28906,38580.63281,60661.97656,43007.07422,34289.86328,49276.15625,34627.92969,31554.21289,42880.57031
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,14127.23535,12874.27637,12791.30273,14443.2207,13339.08984,16097.04102,14441.84375,14126.04688,16007.14258,15229.92285,11818.69434,13269.44141
P27482,CALML3,Calmodulin-like protein 3,692.2748413,360.9054565,2536.84668,3806.366943,2117.247803,2491.811523,1070.710815,2452.84375,288.1176758,2121.737061,1294.622192,1051.221313
P27487,DPP4,Dipeptidyl peptidase 4,558054.3125,633035.4375,609304.4375,594566,498240.9688,538268.3125,497905.3438,554211.625,216684.2344,227323.8438,232167.2344,217831.3594
P27540,ARNT,Aryl hydrocarbon receptor nuclear translocator,1594.289429,1251.190674,982.675415,851.4182129,1177.813477,1269.061401,866.1936035,976.3877563,1175.872681,1815.283203,2088.608154,1470.192627
P27544,CERS1,Ceramide synthase 1,1007.151917,773.5198975,507.1121216,454.0204163,583.8253784,684.6382446,471.8543701,4930.995117,988.8256836,655.3988037,4078.023926,2733.562988
P27635,RPL10,60S ribosomal protein L10,6158.446289,7533.828125,6588.399902,10300.82715,9712.224609,11623.81836,8184.804199,8404.994141,32117.5957,9804.279297,12061.67773,9844.755859
P27658,COL8A1,Collagen alpha-1(VIII) chain,419.7929688,979.4215698,1020.622437,878.9265747,695.8138428,603.0678711,744.2994995,872.8370361,363.7479553,548.6001587,440.8968201,315.3816528
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,42706.5,51023.85547,46159.51172,48707.84375,49625.32422,47507.42969,51997.95313,59342.9375,53123.33594,54979.98047,49118.75,60612.39844
P27695,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,301623.125,315249.7188,254381.4375,262928.5938,263351.2188,321916.2188,286732.7188,287598.5938,277517.9688,262383.5625,281020.7188,235557
P27701,CD82,CD82 antigen,15664.64551,13472.625,11351.05273,13611.86914,16738.94141,14981.31152,16599.44922,16556.77148,17858.45703,13243.25391,17285.22852,12787.98633
P27707,DCK,Deoxycytidine kinase,8236.588867,10352.71484,9497.402344,14413.94336,9522.888672,13913.81055,13553.97656,13859.06055,65882.64063,28300.46484,17725.35742,25873.49219
P27708,CAD,CAD protein,229853.3281,235887.2656,252997,245335.875,271240.5,278095.0938,277804.1563,279512.6875,321174.625,351027.8125,310913.8125,338175.25
P27797,CALR,Calreticulin,1499089.25,1726024.125,1572097.25,1683995.75,1619440,1895008.375,1667859,1689385.25,1599067.875,1495089.875,1452789.25,1693657.75
P27816,MAP4,Microtubule-associated protein 4,1016474.188,1161816.375,1069945.5,1146858.125,1147429.125,1263407.25,1135185.25,1052552.625,801183.0625,916183.5625,790946.9375,903612.0625
P27824,CANX,Calnexin,678663.8125,457309.6563,541001.75,484781.875,514613,601812,511591.0625,529707.25,654313.0625,377170.3125,669615.8125,423239.625
P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,14864.26953,17785.47656,16969.49219,19128.73242,16299.96777,20102.61523,18009.07227,19157.18164,9737.69043,11148.94727,10791.56543,12060.28613
P27987,ITPKB,Inositol-trisphosphate 3-kinase B,2218.974854,2571.422363,2363.258301,1371.488281,2467.339844,2040.767456,1741.510254,1346.388062,2173.095215,1797.700439,906.8433838,1504.924561
P28062,PSMB8,Proteasome subunit beta type-8,15354.20996,24380.30078,19964.44922,19723.99805,24522.09961,21364.99219,22985.43164,21387.19727,12881.42383,12629.16797,11693.18848,20594.79688
P28065,PSMB9,Proteasome subunit beta type-9,19766.29492,2946.279785,20950.44531,21071.43945,23261.99414,25445.55859,25313.98438,24374.63281,17653.59375,17192.32422,13957.96777,17794.88281
P28066,PSMA5,Proteasome subunit alpha type-5,35219.60547,36045.66016,37527.00781,38822.60156,37352.71094,41029.36719,43126.75,46500.42188,29579.19336,32222.79297,29578.41211,35989.08203
P28070,PSMB4,Proteasome subunit beta type-4,114808.6953,157843.625,163262.4844,140256.0313,141744.6406,126496.8906,138876.375,153525.1563,93633,169818.8438,120017.3125,114403.6328
P28072,PSMB6,Proteasome subunit beta type-6,4283.183105,9462.745117,8790.686523,5408.972656,5858.736816,6300.813965,6188.935547,7405.152344,7130.341309,4969.22998,2461.60083,6400.929688
P28074,PSMB5,Proteasome subunit beta type-5,238478.7969,309531.5625,326564.4063,266795.4688,300586.9375,295219.25,326711.8125,340853.4063,217731.0313,268655.2813,266733.4688,329886.0938
P28161,GSTM2,Glutathione S-transferase Mu 2,5171.984375,14419.19043,6376.365234,8446.974609,6190.490234,7034.861816,6737.467773,7171.648926,7819.629883,6921.224121,3496.503906,8522.102539
P28288,ABCD3,ATP-binding cassette sub-family D member 3,26756.32617,25214.87891,25543.46094,26744.60352,21011.63477,24487.16992,22184.11914,23631.48242,15580.93848,18506.02344,20678.86133,19197.49609
P28289,TMOD1,Tropomodulin-1,1431.133179,937.906189,714.6127319,689.8261719,1758.073486,1592.057129,1641.396484,1778.67749,196.7145996,211.5350037,285.7709656,182.4906006
P28290,ITPRID2,Protein ITPRID2,44549.79297,49372.64063,52190.25,48578.66797,45124.57422,39389.60156,46028.53516,44757.46875,28870.86133,35320.12109,26862.54102,37475.70313
P28300,LOX,Protein-lysine 6-oxidase,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2.15390563,NaN,0.86874944
P28328,PEX2,Peroxisome biogenesis factor 2,7243.556152,11058.09082,8958.834961,6289.783203,9936.12207,6837.214844,8517.064453,9618,2023.56958,6513.281738,3121.141602,4814.027344
P28330,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",5902.937012,2793.938232,6588.788574,5643.755371,5483.389648,6704.125,5848.747559,7068.976563,2545.338623,4126.338379,4820.537598,3128.326172
P28331,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",179904.3125,191823.1875,205503.9375,214315.7969,215010.9844,224562.375,215072.9219,243598.9063,113687.5078,125579.4766,107959.625,138326.3125
P28340,POLD1,DNA polymerase delta catalytic subunit,9240.740234,9058.595703,8540.984375,11162.3252,8602.143555,9728.917969,11047.87402,8419.026367,24747.82031,36460.96484,30507.3457,35848.40234
P28347,TEAD1,Transcriptional enhancer factor TEF-1,1818.578613,1358.826172,3520.972656,1333.468872,1507.301147,1552.4198,1978.101685,2848.995361,4931.521973,1285.989868,1699.244995,1701.197388
P28370,SMARCA1,Probable global transcription activator SNF2L1,30070.79297,31698.1582,30624.15625,34181.65625,30457.79688,32160.56836,33061.42969,30989.20898,29883.49805,27016.62891,28112.95117,30475.53906
P28482,MAPK1,Mitogen-activated protein kinase 1,385683.0625,479786.7813,460487.8438,443118.0938,444943.1875,491845.0938,431125.8125,461181.7188,452499.5938,385855.0313,356850.5313,383904.6875
P28562,DUSP1,Dual specificity protein phosphatase 1,2122.241455,3196.35791,2783.092529,2778.422607,2707.91748,2617.60376,2968.049561,2271.058838,808.232666,2502.813477,2300.704834,1665.583008
P28676,GCA,Grancalcin,14509.08008,22893.27539,27217.07617,22785.0957,20166.59766,20342.80273,22742.14063,21330.66211,17651.96875,17853.72852,9179.169922,14340.69531
P28702,RXRB,Retinoic acid receptor RXR-beta,4422.424316,3224.582764,3212.685059,3959.117432,4094.390625,4866.052734,4566.87793,4168.112793,9464.976563,5724.471191,5013.035645,4708.335938
P28715,ERCC5,DNA repair protein complementing XP-G cells,3351.845947,1411.335327,2281.007568,2298.242188,4059.650391,2146.265869,2550.528809,2380.028076,3174.895996,3716.022949,2940.531006,3285.241211
P28799,GRN,Progranulin,235489.7656,229316.125,253170.6719,229253.7188,203250.1719,280701.9375,267564.4375,243633.8125,124006.625,112407.7969,113579.7031,137197.6563
P28827,PTPRM,Receptor-type tyrosine-protein phosphatase mu,39068.01953,35551.76563,34133.77734,32654.91016,35198.82813,41426.35938,31427.0918,33690.25781,46498.40625,38878.59375,36323.11719,40108.79297
P28838,LAP3,Cytosol aminopeptidase,398397.5313,401193.3438,427150.4063,420232.7813,456185,457147.8438,448731.7813,455174.7188,305604.5938,336599.2813,273161.0313,367678.5
P28845,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1,9805.048828,18359.08594,478.5185852,18087.18945,153.5365601,1912.140259,1202.185425,1875.588745,4062.804688,17352.46484,18755.71094,15949.03418
P29033,GJB2,Gap junction beta-2 protein,11.97042465,NaN,NaN,12.744627,23.10873795,22.59207726,8.485438347,15.77879238,19.84967422,30.45329285,24.7722702,18.685709
P29034,S100A2,Protein S100-A2,114.9029312,NaN,9424.955078,NaN,303.14151,16032.67969,17648.92773,171.8250275,278.6818542,997.5700073,250.0174255,2874.050537
P29083,GTF2E1,General transcription factor IIE subunit 1,91324.48438,106843.7578,106279.0625,94835.90625,97894.07031,93423.33594,96725.14844,98181.83594,106255.8516,110504.2813,119815.6406,111351.4688
P29084,GTF2E2,Transcription initiation factor IIE subunit beta,9923.800781,8597.147461,9847.151367,12342.95898,9684.033203,7965.271973,8229.44043,7612.223145,15127.70605,10861.72363,8415.645508,10517.17188
P29144,TPP2,Tripeptidyl-peptidase 2,74057.70313,92049.1875,90202.96094,96025.96875,86024.46094,100517.6016,77567.49219,94480.125,96943.45313,91155.96094,77739.35156,92872.59375
P29218,IMPA1,Inositol monophosphatase 1,212125.1406,179620.8438,174677.7031,178355.0938,190273.7031,177036.5781,198274.4844,197007.2031,134544.2969,126480.5469,123703.3516,128072.2344
P29279,CCN2,CCN family member 2,27840.83984,30295.26953,30088.44531,33730.62109,34377.95313,35770.91406,33172.51563,31216.625,23052.875,28537.1543,24240.96289,27177.11133
P29317,EPHA2,Ephrin type-A receptor 2,151334.3281,142810.5313,140412.1406,135308.3438,130145.1406,128867.9219,122976.6719,129421.0781,116676.4453,116028.1563,108519.2109,107046.0781
P29320;P54756,EPHA3;EPHA5,Ephrin type-A receptor 3;Ephrin type-A receptor 5,NaN,522.3683472,126.9915314,325.3556213,102.5042496,NaN,305.8881836,303.0363464,264.9262085,120.1269302,NaN,NaN
P29323,EPHB2,Ephrin type-B receptor 2,52930.64453,50251.09375,45585.26172,47941.01172,55647.92188,58715.11328,59970.89063,58025.61328,143799.8906,152248.5938,166433.0469,134158.7656
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,30164.37891,29767.73438,29935.43164,27481.93359,30498.98438,32884.55469,29788.43945,32045.23633,21201.10352,31850.74023,16033.88574,24053.36914
P29353,SHC1,SHC-transforming protein 1,62621.34766,62708.64844,65353.6875,71351.4375,58146.09766,65181.89453,61516.60938,66661.89063,42098.75,62513.82813,56174.03906,59031.50781
P29372,MPG,DNA-3-methyladenine glycosylase,10411.68359,10933.84082,10563.13086,7533.859375,8651.057617,10096.7168,9923.822266,12096.41797,17911.54883,17654.14258,20587.02344,16673.10156
P29373,CRABP2,Cellular retinoic acid-binding protein 2,882.3007813,15566.66113,1183.703247,1089.18103,1383.164429,652.3432617,763.2202759,911.3515015,4799.494629,567.3754272,2202.445313,525.1292114
P29374,ARID4A,AT-rich interactive domain-containing protein 4A,4054.240234,4684.603516,2373.470215,3569.946533,3765.335693,3633.875732,3295.02417,3890.907959,3413.506348,3734.961182,5681.954102,4284.59375
P29375,KDM5A,Lysine-specific demethylase 5A,5298.467773,4598.988281,4185.240234,5449.34668,4475.561523,3604.674072,5244.811523,4987.845703,6394.129883,4993.443848,7519.368652,4720.671875
P29401,TKT,Transketolase,2229252.25,2461217,2620570,2589253.25,2518292.25,2347857.5,2501498.5,2472128.75,2806011.25,2055186.375,2284870.25,2431670
P29466,CASP1,Caspase-1,9460.316406,7205.493164,8782.241211,7296.63916,7529.032227,8550.223633,8548.427734,8329.518555,3543.327393,5843.451172,6415.685547,2889.852539
P29475,NOS1,"Nitric oxide synthase, brain",1213.908081,1783.67395,1228.587402,1648.738647,1553.597168,1643.340088,1517.001099,1359.383423,1953.944702,794.3861694,714.0821533,922.8460693
P29508,SERPINB3,Serpin B3,6680.92627,2579.808838,1160.020142,2654.329834,3174.249268,2868.971191,2564.035889,4848.773926,2668.108887,5771.951172,6052.221191,3138.487549
P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",121374.6875,48213.57031,60398.42578,65296.12109,73046.80469,95692.875,73559.74219,63877.17969,80897.67969,108309.3125,111086.5938,112084.8516
P29590,PML,Protein PML,111600.6719,121623.5938,124311.4297,130537.6953,114564.0625,113296.9219,122875.5938,125357.2891,72768.36719,71036.29688,63596.25,70728.36719
P29597,TYK2,Non-receptor tyrosine-protein kinase TYK2,5772.414063,6238.008301,4238.694336,4415.190918,3737.556152,3126.108398,5072.748047,5277.351563,6654.70459,7012.228027,4834.193848,6139.126465
P29692,EEF1D,Elongation factor 1-delta,103537.1953,134094.9219,148359.4688,122928.75,124224.9766,115955.9063,132730.8125,150378,103008.1641,128301.4297,116065.1641,138264.5313
P29728,OAS2,2'-5'-oligoadenylate synthase 2,NaN,3.67630434,NaN,3.150444269,6.921163559,NaN,NaN,NaN,5.16129446,NaN,NaN,NaN
P29966,MARCKS,Myristoylated alanine-rich C-kinase substrate,106698.3281,108106.0234,105064.4688,87134.17188,99523.53125,95220.00781,101375,106630.8516,160804.875,136107.0938,147260.8594,133403.0156
P29992,GNA11,Guanine nucleotide-binding protein subunit alpha-11,165031.0156,172802.6719,172340.2031,182960.8125,175134.2031,172802.3594,189742.9219,172337.4844,121592.1641,122981.5703,155408.875,143356.4531
P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",114702.4297,126762.6953,131291.375,131517.5,116680.1172,133388.5,120795.375,117780.4297,128274.1172,66782.29688,78703.70313,69267.34375
P30039,PBLD,Phenazine biosynthesis-like domain-containing protein,29502.89453,30337.53125,30482.82031,31229,25539.50586,21625.22461,25634.5332,24994.71289,8825.666992,19156.32227,28540.32031,23283.01172
P30040,ERP29,Endoplasmic reticulum resident protein 29,487097.625,545310.1875,526586.625,530779.4375,550973.9375,532909.125,588033.125,544477.25,476360.4688,619679.4375,494506.5938,578872.4375
P30041,PRDX6,Peroxiredoxin-6,952708,832796.5,784123.375,812189.75,813237.8125,774644.875,793407.8125,834783.4375,850007.25,662835.6875,822519.5,705761
P30043,BLVRB,Flavin reductase (NADPH),6098.11377,10816.08887,8718.087891,8749.041992,7364.029785,7930.693848,7381.803223,9339.368164,5100.470215,4549.630859,5928.336426,5703.513184
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",1604789.75,1521794.625,1487948.125,1591596.375,1638812.375,1615135.5,1736250.75,1631958,1080910.375,1044763.313,1167975,987792.9375
P30046,DDT,D-dopachrome decarboxylase,258328.9219,299474.8125,272600.3438,269547.5,246303.1875,280099.6563,257009.1406,275207.9063,227952.2969,235939.0781,211990.1563,262494.1875
P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",15467.93457,27602.73242,24527.99023,24248.44922,23438.0293,26273.08789,27419.90039,33791.70313,11206.25293,16112.23438,15327.9834,22176.02539
P30049,ATP5F1D,"ATP synthase subunit delta, mitochondrial",4592.296875,4515.021484,3075.423096,4726.193359,4241.816406,3166.799316,4088.541992,4397.762695,2847.036865,3546.227783,3993.561768,3150.298828
P30050,RPL12,60S ribosomal protein L12,1313932,1445562.875,1238902.625,1341109.5,1434408.5,1247347.75,1270430.625,1319679.125,1191375.125,1494983.875,1547796.375,1498010.25
P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",573974.4375,569742.8125,603388.375,553153.625,556405.125,659071.0625,571688.875,613203.1875,424505.2813,427985,357618.5938,364072.0313
P30085,CMPK1,UMP-CMP kinase,126832.2188,93500.96875,102241.7813,94218.11719,83150.92969,100165.3359,94211.75781,97416.04688,86656.10938,70354.67969,99392.5625,44915.39063
P30086,PEBP1,Phosphatidylethanolamine-binding protein 1,1505494,1586112.625,1446056.875,1453297.5,1471937.25,1487887.25,1333567.125,1553840.625,1621826.75,1089580.5,1278932.625,1061211.75
P30101,PDIA3,Protein disulfide-isomerase A3,1835868.25,1842908.5,1810993.75,1876213.125,1782818.625,1984931.875,1992126,2046215.875,1853605.5,1903359,1969760,1899493.875
